Date,Depth (m),Temp,O2 (mg/l),O2 (%)
24/05/1978,15,6.6,12.33,100.7
24/05/1978,19,6.2,12.19,98.4
08/06/1978,15,8.2,10.78,91.6
08/06/1978,19,7.6,9.91,82.9
29/06/1978,15,11,7.05,64
29/06/1978,19,10.7,6.41,57.7
26/07/1978,15,12.2,4.24,39.5
26/07/1978,19,10.9,1.9,17.2
16/08/1978,15,13.1,1.77,16.9
16/08/1978,19,12.1,0.59,5.5
28/05/1979,15,9.4,11.3,98.5
28/05/1979,19,9.4,11.27,98.2
14/06/1979,15,11.6,8.46,77.8
14/06/1979,19,10.6,8.14,73.2
18/07/1979,15,12.9,3.47,32.9
18/07/1979,19,12,2.05,19
15/08/1979,15,14.2,2.62,25.6
15/08/1979,19,13.1,0.92,8.8
09/09/1979,15,16.1,8.71,88.6
09/09/1979,19,13.7,2.11,20.4
27/05/1980,15,9,3.58,31
27/05/1980,19,8.8,3.42,29.48
06/06/1980,15,9.7,3.22,28.35
06/06/1980,19,9.6,3.06,26.87
13/06/1980,15,10,2.74,24.29
17/06/1980,15,10.3,2.36,21.07
17/06/1980,19,10.1,4.18,37.16
14/07/1980,15,14,3.84,37.32
14/07/1980,19,12,2.34,21.73
27/02/1981,15,2.1,6.62,47.97101449
27/02/1981,19,1.34,4.22,29.90786676
18/03/1981,15,2.26,7.13,51.93008012
18/03/1981,19,1.15,3.62,25.58303887
25/03/1981,15,2.35,7.09,51.78962747
25/03/1981,19,1.14,3.58,25.22903453
24/09/1981,15,2,6.3,45.52
24/09/1981,19,1.3,4.09,28.99
16/05/1982,15,3.1,5.3,39
16/05/1982,19,3.8,3.8,29
18/05/1982,15,8,11.6,98
18/05/1982,19,7.9,11.1,94
07/05/1984,15,5.5,15.07,120
07/05/1984,19,4.9,14.57,114
14/05/1984,15,6.2,14.2,115
14/05/1984,19,6,13.7,110
29/05/1984,15,8.3,13.39,114
29/05/1984,19,7.7,15.67,131
11/05/1994,14,6.7,11.8,
11/05/1994,15,6.6,11.8,
11/05/1994,16,6.6,11.6,
11/05/1994,17,6.6,11.1,
11/05/1994,18,6.6,11,
11/05/1994,19,6.6,10.7,
18/05/1994,14,8.9,10.6,
18/05/1994,15,8.7,10.5,
18/05/1994,16,8.5,10.5,
18/05/1994,17,8.4,10.5,
18/05/1994,18,8.3,10.4,
18/05/1994,19,8.1,10.4,
18/05/1994,20,8.1,10.2,
24/05/1994,14,10,10.2,
24/05/1994,15,9.9,9.9,
24/05/1994,16,9.6,9.7,
24/05/1994,17,9.3,9.2,
24/05/1994,18,9,8.8,
24/05/1994,19,8.9,8.2,
24/05/1994,20,8.7,2.7,
15/03/1995,14,2,6.6,
15/03/1995,18,2.6,7.1,
15/03/1995,20,3.3,4.5,
09/08/1995,19,15.2,0.9,
23/08/1995,18,15.2,0.9,
14/05/1996,14,6.3,12.1,98
14/05/1996,15,6.2,12.2,98
14/05/1996,16,6.2,12.2,98
14/05/1996,17,6.2,12.2,98
14/05/1996,18,6.2,12.2,98
14/05/1996,19,6.2,12.2,98
14/05/1996,20,6.2,11.8,95
29/05/1996,14,9,11.1,95
29/05/1996,15,8.5,11.1,94
29/05/1996,16,8.3,10.8,92
29/05/1996,17,8.2,10.8,91
29/05/1996,18,8.2,10.7,91
29/05/1996,19,8.1,10.7,90
05/06/1996,14,11.9,11.1,103
05/06/1996,15,11.9,11.2,103
05/06/1996,16,11.9,11.2,103
05/06/1996,17,11.7,10.8,99
05/06/1996,18,11.7,10.8,99
05/06/1996,19,10.9,9.8,89
05/06/1996,20,10.9,9.8,89
12/06/1996,14,14.1,9.7,95
12/06/1996,15,13.9,9.8,94
12/06/1996,16,11.4,8.9,81
12/06/1996,17,10.7,8.2,75
12/06/1996,18,10.4,7.7,69
12/06/1996,19,10.3,7.2,64
12/06/1996,20,10.2,7,63
18/06/1996,14,12.9,8.1,77
18/06/1996,15,12.9,8.1,77
18/06/1996,16,11.9,7.4,68
18/06/1996,17,11.7,7.3,67
18/06/1996,18,10.8,5.2,47
18/06/1996,19,10.5,5.1,46
18/06/1996,20,10.4,3.8,34
26/06/1996,14,12.8,6.3,58
26/06/1996,15,12.5,5.6,52
26/06/1996,16,12.3,5.5,51
26/06/1996,17,11.8,4.4,40
26/06/1996,18,11.5,4.3,37
26/06/1996,19,11.4,3.7,33
26/06/1996,20,11.2,3.1,28
03/07/1996,14,13.3,5.6,53
03/07/1996,15,13.2,5.5,52
03/07/1996,16,12.9,4.8,46
03/07/1996,17,12.7,4.6,44
03/07/1996,18,12.7,4.6,43
03/07/1996,19,12.6,4.6,43
03/07/1996,20,12.4,4.1,39
10/07/1996,14,15.1,6.7,67
10/07/1996,15,14.5,5.8,57
10/07/1996,16,14.8,6.3,63
10/07/1996,17,14.4,5.5,54
10/07/1996,18,14.4,5.5,54
10/07/1996,19,14.2,5.2,51
10/07/1996,20,14.2,5.2,51
17/07/1996,14,16.4,8.9,90
17/07/1996,15,16.4,8.9,91
17/07/1996,16,16.4,8.9,91
17/07/1996,17,16.4,8.9,91
17/07/1996,18,16.4,8.8,90
17/07/1996,19,16.3,8.9,90
17/07/1996,20,16.3,8.2,83
24/07/1996,14,16.3,8,81
24/07/1996,15,16.3,7.9,80
24/07/1996,16,16.2,7.9,80
24/07/1996,17,16.2,7.9,80
24/07/1996,18,16.2,7.3,75
24/07/1996,19,16.2,7.7,79
24/07/1996,20,16.1,6.3,64
31/07/1996,14,16.2,7.2,73
31/07/1996,15,16.1,6.7,68
31/07/1996,16,16,5.7,57
31/07/1996,17,15.8,5.2,52
31/07/1996,18,15.8,4.8,49
31/07/1996,19,15.8,4.6,46
31/07/1996,20,15.7,4.3,43
07/08/1996,14,16.4,5.3,54
07/08/1996,15,16.4,5.1,53
07/08/1996,16,16.3,5.1,52
07/08/1996,17,16.2,5,51
07/08/1996,18,16.1,4.3,44
07/08/1996,19,16,3.7,37
14/08/1996,14,16.4,3.6,38
14/08/1996,15,16.4,3.6,38
14/08/1996,16,16.3,3.4,36
14/08/1996,17,16.3,3.2,33
14/08/1996,18,16.3,3,32
14/08/1996,19,16.3,3,32
14/08/1996,20,16.1,1.9,20
22/08/1996,14,16.4,1.9,20
22/08/1996,15,16.2,1.6,16
22/08/1996,16,16.2,1.4,14
22/08/1996,17,16.1,1.4,14
22/08/1996,18,16.1,1.3,14
22/08/1996,19,16.1,1.1,12
22/08/1996,20,16,0.8,9
29/08/1996,14,16.6,2,21
29/08/1996,15,16.5,1.6,17
29/08/1996,16,16.5,1.5,16
29/08/1996,17,16.3,1.1,11
29/08/1996,18,16.3,1,10
29/08/1996,19,16.2,0.9,9
29/08/1996,20,16.1,0.8,8
04/09/1996,14,16.7,1.2,13
04/09/1996,15,16.7,1.1,12
04/09/1996,16,16.6,1,11
04/09/1996,17,16.6,1.1,11
04/09/1996,18,16.5,0.6,6
04/09/1996,19,16.2,0.2,2
04/09/1996,20,16.2,0.2,2
25/09/1996,14,13,9.1,89
25/09/1996,15,13,9.1,89
25/09/1996,16,13,9.2,90
25/09/1996,17,13,9.1,89
25/09/1996,18,13,8.8,87
25/09/1996,19,13,8.9,88
14/05/1997,14,6.9,12.2,
14/05/1997,15,6.9,12.2,
14/05/1997,16,6.9,12.1,
14/05/1997,17,6.8,12.1,
14/05/1997,18,6.7,12,
14/05/1997,19,6.6,11.9,
28/05/1997,14,9.5,11.4,
28/05/1997,15,9.5,11.4,
28/05/1997,16,8.4,10.7,
28/05/1997,17,8.3,10.6,
28/05/1997,18,8.2,10.5,
28/05/1997,19,8.1,10.3,
28/05/1997,20,8,10.2,
04/06/1997,14,9.8,10.8,
04/06/1997,15,9.5,10.6,
04/06/1997,16,8.9,9.6,
04/06/1997,17,8.8,9.6,
04/06/1997,18,8.8,9.6,
04/06/1997,19,8.7,9.4,
04/06/1997,20,8.7,9.4,
11/06/1997,14,10.1,8.6,
11/06/1997,15,10.1,8.6,
11/06/1997,16,10,8.5,
11/06/1997,17,9.9,8.4,
11/06/1997,18,9.8,8.3,
11/06/1997,19,9.5,7.7,
11/06/1997,20,9.5,7.4,
18/06/1997,14,10.3,8.1,
18/06/1997,15,10.3,8,
18/06/1997,16,10.1,7.9,
18/06/1997,17,9.9,7,
18/06/1997,18,9.9,6.9,
18/06/1997,19,9.8,6.7,
18/06/1997,20,9.8,6.7,
25/06/1997,14,10.8,6.9,
25/06/1997,15,10.7,6.8,
25/06/1997,16,10.5,6.5,
25/06/1997,17,10.5,6.2,
25/06/1997,18,10.4,6.2,
25/06/1997,19,10.4,5.9,
25/06/1997,20,10.4,5.9,
02/07/1997,14,10.9,5.8,
02/07/1997,15,10.8,5.7,
02/07/1997,16,10.7,5.4,
02/07/1997,17,10.6,5.3,
02/07/1997,18,10.6,5.3,
09/07/1997,14,11.1,5.6,
09/07/1997,15,10.9,5.6,
09/07/1997,16,10.7,5.4,
09/07/1997,17,10.7,5.1,
09/07/1997,18,10.6,4.8,
